,http://bgicovid19.com/index.php/63rcsmjf867-folkie7e867630d.army,10
0,http://bgicovid19.com/index.php/63rcsmjf867-folkie7e867630d.army,10
2,http://bgicovid19.com/index.php/915ojer2519-flashbulb4851991bc.army,10
5,http://bloktuban.com/2020/03/18/ini-prosedur-pemkab-tuban-dalam-mewaspadai-wabah-covid-19/,10
8,http://dpmcbd.com/covid-19-update/,10
11,http://laagendacr.com/55-casos-positivos-por-covid-19-es-la-cifra-mas-alta-hasta-el-momento/,10
14,http://www.aimisyahirah.com/2020/03/erina-nak-jadi-doktor-frontliner-covid19.html,10
17,http://www.lezappingdupaf.com/2020/10/un-vrai-ou-fake-dedie-aux-intox-sur-la-covid-19-ce-soir-franceinfo.html,10
20,http://www.migueljara.com/2020/07/09/covid-webinar-del-bufete-almodovar-jara-sobre-vacunas-y-farmacos-medidas-obligatoriedad/comment-page-1/,10
23,https://abuyerschoice.com/tag/covid-19/,10
26,https://amp.independentmail.com/picture-gallery/news/2020/09/26/photos-covid-19-testing-and-flu-shots-westside-community-center-anderson/3548537001/,10
29,https://blog.fortrabbit.com/covid-19-info,10
32,https://bnnoticias.com/registran-18-fallecidos-y-critican-a-quienes-no-cumplen-normas-contra-covid-19-poblacion-visito-par/,10
35,https://bpachannel.com/covid-19-brasil-tem-461-mortes-nas-ultimas-24h-total-ultrapassa-153-mil-olhar-digital/,10
38,https://cafecantana.com/travel/us-airline-employees-report-lower-rate-of-covid-19-infection-than-public-ceos-say/,10
41,https://catsandchocolate.com/tag/covid-19/,10
44,https://columbianastreetfair.com/covid-19,10
47,https://financial-daily-news.com/markets-roundup-stocks-plunge-while-gold-and-yen-gain-as-trump-tests-positive-for-covid-19/,10
50,https://gestionpandemie.com/coronavirus/la-prevention/covid-19-coronavirus-disease-2019-qu-est-ce-que-c-est-et-comment-doit-il-etre/,10
53,https://graphcom.com/support-covid-19-relief-on-givingtuesdaynow/,10
56,https://in.news.yahoo.com/goas-covid-19-cases-cross-142308631.html,10
59,https://it.notizie.yahoo.com/covid-johnson-prepara-le-nuove-153121780.html,10
62,https://it.notizie.yahoo.com/covid-lombardia-bar-e-ristoranti-chiuderanno-alle-24-202010785.html,10
65,https://it.notizie.yahoo.com/tumori-sige-pandemia-covid-19-124532301.html,10
68,https://jeracravo.com/blogs/main/posts/covid-jamming-3,10
71,https://jp.cointelegraph.com/news/blockchain-fights-for-pandemic-of-covid-19-ibm-introduces-mipasa-platform,10
74,https://mcmnt.com/president-uhuru-fires-entire-board-over-covid-19-scandal/,10
77,https://myurgence.com/sante-covid-19-huit-hospitalisations-desormais/,10
80,https://nedevelopment.com/covid-19-resources,10
83,https://noticieros.televisa.com/ultimas-noticias/trump-busca-el-voto-de-adultos-mayores-con-promesas-sobre-vacuna-contra-covid-19/,10
86,https://novynarnia.com/2020/04/26/za-dobu-v-armiyi-dodavsya-odin-hvoriy-na-covid-19/,10
89,https://palaciovillapanes.com/en/covid-19-update-and-extended-cancellation-policy/,10
92,https://parentsecurityonline.com/childsafety-covid-19-school-community-testing-pathway/,10
95,https://shallweproceedpodcast.buzzsprout.com/1228892/4640924-s3-ep32-w-actor-erik-mckay-living-in-the-hot-zone-of-covid-19?play=true,10
98,https://unitedkingdom.4life.com/janaziakova/blog/details/807/covid19-action-plan,10
101,https://web.whatsapp.com/send?text=Caos%20scuola%2C%20ancora%20rinvii%20per%20mancanza%20di%20banchi%2C%20di%20supplenti%2C%20di%20aule%20e%20di%20contagi%20Covid-19%20https%3A%2F%2Fwww.osservatoreitalia.eu%2Fcaos-scuola-ancora-rinvii-per-mancanza-di-banchi-di-supplenti-di-aule-e-di-contagi-covid-19%2F,10
104,https://www.areventi.com/alleanza-tra-lo-specialista-pneumologo-e-il-medico-di-medicina-generale-in-tempo-di-covid-19-lesperienza-di-biella/,10
107,https://www.clarionledger.com/story/news/2020/10/09/downtown-montgomery-mural-politics-covid-policing-and-systemic-racism-21-dreams/5901733002/,10
110,https://www.columbiamissourian.com/news/covid19/mu-students-not-required-to-report-positive-tests-to-university-this-fall/article_a1645192-cbae-11ea-aad0-eba60dfd7995.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share,10
113,https://www.dharitri.com/uae-health-minister-receives-first-dose-of-covid-19-vaccine/,10
116,https://www.elcomercio.com/actualidad/premios-nobel-2020-pandemia-covid19.html,10
119,https://www.emiratesnbd.com/en/personal-banking/ways-of-banking/mobile-banking/mobile-banking-applications/?etm_action=covid&ref=covid,10
122,https://www.eyetrodigital.com/2020/09/03/digitilisation-a-hedge-against-covid-19-impact/,10
125,https://www.forbes.com/sites/ashleystahl/2020/04/03/3-actions-employers-should-take-during-the-covid-19-outbreak/,10
128,https://www.komu.com/news/monday-covid-19-coverage-missouri-announces-1-463-new-cases-statewide,10
131,https://www.marunadanmalayalee.com/news/special-report/malappuram-covid-updates-199997,10
134,https://www.rasyotekakademi.com/egitimlerimiz/covid-19-salgini-nedeniyle-is-yeri-uygulamasinin-kvkk-kapsami,10
137,https://www.romfordconservatives.com/covid-recovery-survey,10
